transaction_id,date,time,customer_name,customer_type,cut_type,chickens_count,live_weight_kg,carcass_weight_kg,weight_loss_kg,yield_ratio,price_per_kg,cogs_rp,revenue_rp,gross_profit_rp,payment_method,payment_status
TRX-20260625-0507,2026-06-25,07:03,Katering Berkah Ibu,Langganan,Potong 8,27,51.13,36.51,14.62,0.714,36500,1124860,1332615,207755,Tempo_14H,Belum Lunas
TRX-20260625-0508,2026-06-25,05:00,Eceran Umum,Umum,Potong 8,2,3.43,2.59,0.84,0.754,36500,75460,94535,19075,Tunai,Lunas
TRX-20260625-0509,2026-06-25,05:55,Eceran Umum,Umum,Fillet Dada,2,3.72,2.81,0.91,0.755,48000,81840,134880,53040,Tunai,Lunas
TRX-20260625-0510,2026-06-25,04:28,Ayam Geprek Sambal Bawang,Langganan,Potong 8,17,37.62,28.29,9.33,0.752,36500,827640,1032585,204945,Tunai,Lunas
TRX-20260625-0511,2026-06-25,03:47,Depot Mie Pangsit 88,Langganan,Fillet Dada,16,31.41,23.46,7.95,0.747,48000,691020,1126080,435060,Tempo_3H,Belum Lunas
TRX-20260625-0512,2026-06-25,10:34,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,20,40.11,28.76,11.35,0.717,36500,882420,1049740,167320,Tempo_3H,Lunas
TRX-20260625-0513,2026-06-25,07:10,Eceran Umum,Umum,Karkas Utuh,2,4.05,2.92,1.13,0.722,35000,89100,102200,13100,Tunai,Lunas
TRX-20260625-0514,2026-06-25,07:49,Eceran Umum,Umum,Potong 12,2,3.44,2.59,0.85,0.752,36500,75680,94535,18855,Tunai,Lunas
TRX-20260625-0515,2026-06-25,05:15,Depot Mie Pangsit 88,Langganan,Potong 8,33,69.08,51.05,18.03,0.739,36500,1519760,1863325,343565,Tempo_3H,Belum Lunas
TRX-20260625-0516,2026-06-25,05:09,Bakso Solo Mas Mul,Langganan,Karkas Utuh,29,55.52,41.08,14.44,0.74,35000,1221440,1437800,216360,Tempo_7H,Belum Lunas
TRX-20260625-0517,2026-06-25,04:04,Ayam Geprek Sambal Bawang,Langganan,Potong 12,9,20.68,15.7,4.98,0.759,36500,454960,573050,118090,Tunai,Belum Lunas
TRX-20260625-0518,2026-06-25,06:24,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,15,33.25,24.21,9.04,0.728,36500,731500,883665,152165,Tempo_3H,Belum Lunas
TRX-20260625-0519,2026-06-25,08:43,Eceran Umum,Umum,Potong 8,1,2.02,1.53,0.49,0.759,36500,44440,55845,11405,Tunai,Lunas
TRX-20260625-0520,2026-06-25,05:00,Eceran Umum,Umum,Potong 12,2,3.81,2.74,1.07,0.72,36500,83820,100010,16190,Tunai,Lunas
TRX-20260626-0521,2026-06-26,06:28,Warung Padang Roda Jaya,Langganan,Campur,22,39.81,29.82,9.99,0.749,35000,875820,1043700,167880,Tempo_7H,Belum Lunas
TRX-20260626-0522,2026-06-26,07:53,Katering Berkah Ibu,Langganan,Potong 12,10,20.68,15.18,5.5,0.734,36500,454960,554070,99110,Tempo_14H,Belum Lunas
TRX-20260626-0523,2026-06-26,05:37,Eceran Umum,Umum,Potong 12,2,3.98,2.95,1.03,0.74,36500,87560,107675,20115,Tunai,Lunas
TRX-20260626-0524,2026-06-26,03:07,Eceran Umum,Umum,Karkas Utuh,2,3.48,2.58,0.9,0.74,35000,76560,90300,13740,Tunai,Lunas
TRX-20260626-0525,2026-06-26,08:42,Ayam Geprek Sambal Bawang,Langganan,Potong 4,17,38.9,28.94,9.96,0.744,35000,855800,1012900,157100,Tunai,Belum Lunas
TRX-20260626-0526,2026-06-26,08:08,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Campur,24,45.79,34.11,11.68,0.745,35000,1007380,1193850,186470,Tempo_3H,Belum Lunas
TRX-20260626-0527,2026-06-26,09:52,Depot Mie Pangsit 88,Langganan,Karkas Utuh,24,47.37,34.67,12.7,0.732,35000,1042140,1213450,171310,Tempo_3H,Belum Lunas
TRX-20260626-0528,2026-06-26,08:28,Katering Berkah Ibu,Langganan,Karkas Utuh,15,32.92,24.06,8.86,0.731,35000,724240,842100,117860,Tempo_14H,Lunas
TRX-20260626-0529,2026-06-26,03:23,Warung Padang Roda Jaya,Langganan,Karkas Utuh,24,48.46,35.67,12.79,0.736,35000,1066120,1248450,182330,Tempo_7H,Belum Lunas
TRX-20260626-0530,2026-06-26,03:43,Eceran Umum,Umum,Potong 4,2,3.61,2.68,0.93,0.742,35000,79420,93800,14380,Tunai,Lunas
TRX-20260626-0531,2026-06-26,03:09,Eceran Umum,Umum,Potong 4,1,1.88,1.36,0.52,0.725,35000,41360,47600,6240,Tunai,Lunas
TRX-20260626-0532,2026-06-26,03:03,Warung Nasi Sunda Ibu Imas,Langganan,Karkas Utuh,10,22.32,16.03,6.29,0.718,35000,491040,561050,70010,Tempo_7H,Lunas
TRX-20260626-0533,2026-06-26,04:27,Warung Padang Roda Jaya,Langganan,Potong 12,34,63.53,46.95,16.58,0.739,36500,1397660,1713675,316015,Tempo_7H,Belum Lunas
TRX-20260626-0534,2026-06-26,06:47,Eceran Umum,Umum,Karkas Utuh,1,1.74,1.28,0.46,0.733,35000,38280,44800,6520,Tunai,Lunas
TRX-20260626-0535,2026-06-26,07:41,Eceran Umum,Umum,Potong 4,2,3.86,2.88,0.98,0.746,35000,84920,100800,15880,Tunai,Lunas
TRX-20260626-0536,2026-06-26,06:39,Depot Mie Pangsit 88,Langganan,Potong 12,14,27.4,20.19,7.21,0.737,36500,602800,736935,134135,Tempo_3H,Belum Lunas
TRX-20260626-0537,2026-06-26,08:19,Warung Nasi Sunda Ibu Imas,Langganan,Karkas Utuh,25,51.12,38.19,12.93,0.747,35000,1124640,1336650,212010,Tempo_7H,Belum Lunas
TRX-20260626-0538,2026-06-26,07:06,Warung Padang Roda Jaya,Langganan,Karkas Utuh,20,40.07,29.09,10.98,0.726,35000,881540,1018150,136610,Tempo_7H,Belum Lunas
TRX-20260626-0539,2026-06-26,03:12,Bakso Solo Mas Mul,Langganan,Fillet Dada,21,39.64,29.25,10.39,0.738,48000,872080,1404000,531920,Tempo_7H,Belum Lunas
TRX-20260626-0540,2026-06-26,06:03,Warung Padang Roda Jaya,Langganan,Campur,12,23.83,17.71,6.12,0.743,35000,524259,619850,95591,Tempo_7H,Lunas
TRX-20260627-0541,2026-06-27,03:02,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 4,17,34.06,25.72,8.34,0.755,35000,749320,900200,150880,Tempo_3H,Belum Lunas
TRX-20260627-0542,2026-06-27,05:56,Depot Mie Pangsit 88,Langganan,Fillet Dada,7,15.89,12.0,3.89,0.755,48000,349580,576000,226420,Tempo_3H,Belum Lunas
TRX-20260627-0543,2026-06-27,05:04,Bakso Solo Mas Mul,Langganan,Karkas Utuh,29,52.57,38.01,14.56,0.723,35000,1156540,1330350,173810,Tempo_7H,Belum Lunas
TRX-20260627-0544,2026-06-27,05:03,Warung Padang Roda Jaya,Langganan,Karkas Utuh,14,30.75,22.79,7.96,0.741,35000,676500,797650,121150,Tempo_7H,Belum Lunas
TRX-20260627-0545,2026-06-27,05:14,Eceran Umum,Umum,Karkas Utuh,2,3.89,2.94,0.95,0.756,35000,85580,102900,17320,Tunai,Lunas
TRX-20260627-0546,2026-06-27,04:07,Eceran Umum,Umum,Campur,1,2.15,1.58,0.57,0.733,35000,47300,55300,8000,Tunai,Lunas
TRX-20260627-0547,2026-06-27,07:15,Warung Padang Roda Jaya,Langganan,Potong 12,26,52.39,38.77,13.62,0.74,36500,1152580,1415105,262525,Tempo_7H,Belum Lunas
TRX-20260627-0548,2026-06-27,04:29,Bakso Solo Mas Mul,Langganan,Potong 8,15,27.23,19.61,7.62,0.72,36500,599060,715765,116705,Tempo_7H,Belum Lunas
TRX-20260627-0549,2026-06-27,06:08,Warung Padang Roda Jaya,Langganan,Potong 8,16,32.81,23.39,9.42,0.713,36500,721820,853735,131915,Tempo_7H,Lunas
TRX-20260627-0550,2026-06-27,05:53,Depot Mie Pangsit 88,Langganan,Campur,16,29.0,21.23,7.77,0.732,35000,638000,743050,105050,Tempo_3H,Lunas
TRX-20260627-0551,2026-06-27,06:13,Eceran Umum,Umum,Campur,2,3.68,2.65,1.03,0.719,35000,80960,92750,11790,Tunai,Lunas
TRX-20260627-0552,2026-06-27,07:50,Eceran Umum,Umum,Fillet Dada,1,2.03,1.46,0.57,0.721,48000,44659,70080,25421,Tunai,Lunas
TRX-20260627-0553,2026-06-27,08:39,Depot Mie Pangsit 88,Langganan,Campur,10,19.83,14.4,5.43,0.726,35000,436259,504000,67741,Tempo_3H,Belum Lunas
TRX-20260627-0554,2026-06-27,03:48,Eceran Umum,Umum,Potong 4,1,1.85,1.34,0.51,0.727,35000,40700,46900,6200,Tunai,Lunas
TRX-20260627-0555,2026-06-27,03:38,Eceran Umum,Umum,Potong 4,1,2.03,1.46,0.57,0.72,35000,44659,51100,6441,Tunai,Lunas
TRX-20260627-0556,2026-06-27,06:36,Eceran Umum,Umum,Fillet Dada,2,3.75,2.83,0.92,0.756,48000,82500,135840,53340,Tunai,Lunas
TRX-20260627-0557,2026-06-27,05:57,Eceran Umum,Umum,Potong 12,1,1.87,1.37,0.5,0.732,36500,41140,50005,8865,Tunai,Lunas
TRX-20260627-0558,2026-06-27,04:45,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Karkas Utuh,31,68.97,49.24,19.73,0.714,35000,1517340,1723400,206060,Tempo_3H,Belum Lunas
TRX-20260627-0559,2026-06-27,10:23,Warung Padang Roda Jaya,Langganan,Potong 4,8,15.19,10.91,4.28,0.718,35000,334180,381850,47670,Tempo_7H,Lunas
TRX-20260627-0560,2026-06-27,04:54,Bakso Solo Mas Mul,Langganan,Campur,29,65.44,47.05,18.39,0.719,35000,1439680,1646750,207070,Tempo_7H,Lunas
TRX-20260627-0561,2026-06-27,08:19,Eceran Umum,Umum,Fillet Dada,2,3.58,2.6,0.98,0.725,48000,78760,124800,46040,Tunai,Lunas
TRX-20260627-0562,2026-06-27,09:48,Eceran Umum,Umum,Karkas Utuh,2,4.26,3.08,1.18,0.722,35000,93720,107800,14080,Tunai,Lunas
TRX-20260627-0563,2026-06-27,08:49,Bakso Solo Mas Mul,Langganan,Fillet Dada,27,52.58,38.12,14.46,0.725,48000,1156760,1829759,672999,Tempo_7H,Lunas
TRX-20260627-0564,2026-06-27,06:02,Eceran Umum,Umum,Potong 4,1,2.13,1.6,0.53,0.751,35000,46860,56000,9140,Tunai,Lunas
TRX-20260627-0565,2026-06-27,05:51,Eceran Umum,Umum,Potong 4,1,2.17,1.56,0.61,0.717,35000,47740,54600,6860,Tunai,Lunas
TRX-20260627-0566,2026-06-27,06:23,Bakso Solo Mas Mul,Langganan,Karkas Utuh,9,17.8,12.67,5.13,0.712,35000,391600,443450,51850,Tempo_7H,Lunas
TRX-20260627-0567,2026-06-27,05:20,Eceran Umum,Umum,Fillet Dada,2,3.92,2.92,1.0,0.745,48000,86240,140160,53920,Tunai,Lunas
TRX-20260628-0568,2026-06-28,04:48,Eceran Umum,Umum,Karkas Utuh,1,2.1,1.5,0.6,0.715,35000,46200,52500,6300,Tunai,Lunas
TRX-20260628-0569,2026-06-28,05:55,Depot Mie Pangsit 88,Langganan,Karkas Utuh,10,19.07,13.6,5.47,0.713,35000,419540,476000,56460,Tempo_3H,Belum Lunas
TRX-20260628-0570,2026-06-28,03:29,Bakso Solo Mas Mul,Langganan,Fillet Dada,16,29.63,21.3,8.33,0.719,48000,651860,1022400,370540,Tempo_7H,Belum Lunas
TRX-20260628-0571,2026-06-28,09:53,Eceran Umum,Umum,Potong 8,2,3.66,2.77,0.89,0.758,36500,80520,101105,20585,Tunai,Lunas
TRX-20260628-0572,2026-06-28,04:54,Eceran Umum,Umum,Karkas Utuh,1,2.05,1.5,0.55,0.733,35000,45099,52500,7401,Tunai,Lunas
TRX-20260628-0573,2026-06-28,06:00,Eceran Umum,Umum,Karkas Utuh,2,3.76,2.82,0.94,0.751,35000,82720,98700,15980,Tunai,Lunas
TRX-20260628-0574,2026-06-28,05:44,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Fillet Dada,34,74.9,54.38,20.52,0.726,48000,1647800,2610240,962440,Tempo_3H,Lunas
TRX-20260628-0575,2026-06-28,05:13,Eceran Umum,Umum,Campur,1,1.81,1.32,0.49,0.729,35000,39820,46200,6380,Tunai,Lunas
TRX-20260628-0576,2026-06-28,07:26,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Fillet Dada,25,47.55,33.81,13.74,0.711,48000,1046099,1622880,576781,Tempo_3H,Belum Lunas
TRX-20260628-0577,2026-06-28,05:33,Eceran Umum,Umum,Karkas Utuh,1,1.86,1.34,0.52,0.722,35000,40920,46900,5980,Tunai,Lunas
TRX-20260628-0578,2026-06-28,06:03,Katering Berkah Ibu,Langganan,Potong 8,18,40.0,28.84,11.16,0.721,36500,880000,1052660,172660,Tempo_14H,Lunas
TRX-20260628-0579,2026-06-28,07:46,Warung Padang Roda Jaya,Langganan,Potong 12,21,44.61,32.21,12.4,0.722,36500,981420,1175665,194245,Tempo_7H,Belum Lunas
TRX-20260628-0580,2026-06-28,03:23,Warung Nasi Sunda Ibu Imas,Langganan,Potong 12,21,47.24,35.81,11.43,0.758,36500,1039280,1307065,267785,Tempo_7H,Belum Lunas
TRX-20260628-0581,2026-06-28,05:13,Bakso Solo Mas Mul,Langganan,Potong 4,19,37.95,27.29,10.66,0.719,35000,834900,955150,120250,Tempo_7H,Lunas
TRX-20260628-0582,2026-06-28,03:44,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 4,17,36.64,26.2,10.44,0.715,35000,806080,917000,110920,Tempo_3H,Belum Lunas
TRX-20260628-0583,2026-06-28,04:38,Warung Nasi Sunda Ibu Imas,Langganan,Potong 4,12,21.9,16.05,5.85,0.733,35000,481799,561750,79951,Tempo_7H,Belum Lunas
TRX-20260628-0584,2026-06-28,04:29,Eceran Umum,Umum,Fillet Dada,2,3.44,2.58,0.86,0.749,48000,75680,123840,48160,Tunai,Lunas
TRX-20260628-0585,2026-06-28,05:44,Eceran Umum,Umum,Potong 12,2,3.94,2.96,0.98,0.752,36500,86680,108040,21360,Tunai,Lunas
TRX-20260628-0586,2026-06-28,04:22,Eceran Umum,Umum,Potong 8,2,4.24,3.11,1.13,0.734,36500,93280,113515,20235,Tunai,Lunas
TRX-20260628-0587,2026-06-28,04:19,Warung Padang Roda Jaya,Langganan,Potong 4,28,50.95,36.89,14.06,0.724,35000,1120900,1291150,170250,Tempo_7H,Lunas
TRX-20260628-0588,2026-06-28,09:03,Warung Nasi Sunda Ibu Imas,Langganan,Potong 4,23,45.38,33.76,11.62,0.744,35000,998360,1181600,183240,Tempo_7H,Belum Lunas
TRX-20260628-0589,2026-06-28,05:47,Warung Nasi Sunda Ibu Imas,Langganan,Potong 12,17,39.02,27.74,11.28,0.711,36500,858440,1012510,154070,Tempo_7H,Belum Lunas
TRX-20260628-0590,2026-06-28,06:48,Katering Berkah Ibu,Langganan,Potong 4,13,24.58,18.21,6.37,0.741,35000,540760,637350,96590,Tempo_14H,Lunas
TRX-20260628-0591,2026-06-28,05:29,Eceran Umum,Umum,Fillet Dada,2,3.57,2.61,0.96,0.731,48000,78540,125280,46740,Tunai,Lunas
TRX-20260628-0592,2026-06-28,08:56,Bakso Solo Mas Mul,Langganan,Potong 12,34,62.9,44.72,18.18,0.711,36500,1383800,1632280,248480,Tempo_7H,Belum Lunas
TRX-20260628-0593,2026-06-28,03:34,Depot Mie Pangsit 88,Langganan,Potong 4,25,55.44,42.08,13.36,0.759,35000,1219680,1472800,253120,Tempo_3H,Lunas
TRX-20260628-0594,2026-06-28,08:11,Eceran Umum,Umum,Karkas Utuh,2,3.45,2.46,0.99,0.712,35000,75900,86100,10200,Tunai,Lunas
TRX-20260628-0595,2026-06-28,04:52,Depot Mie Pangsit 88,Langganan,Potong 12,20,36.11,27.05,9.06,0.749,36500,794420,987325,192905,Tempo_3H,Belum Lunas
TRX-20260628-0596,2026-06-28,05:12,Eceran Umum,Umum,Potong 8,2,3.94,2.85,1.09,0.724,36500,86680,104025,17345,Tunai,Lunas
TRX-20260629-0597,2026-06-29,04:45,Ayam Geprek Sambal Bawang,Langganan,Karkas Utuh,32,64.42,48.44,15.98,0.752,35000,1417240,1695400,278160,Tunai,Belum Lunas
TRX-20260629-0598,2026-06-29,04:20,Eceran Umum,Umum,Karkas Utuh,2,3.5,2.57,0.93,0.733,35000,77000,89950,12950,Tunai,Lunas
TRX-20260629-0599,2026-06-29,08:29,Eceran Umum,Umum,Potong 4,2,4.15,2.96,1.19,0.713,35000,91300,103600,12300,Tunai,Lunas
TRX-20260629-0600,2026-06-29,05:02,Warung Padang Roda Jaya,Langganan,Potong 8,19,39.23,28.17,11.06,0.718,36500,863059,1028205,165146,Tempo_7H,Belum Lunas
TRX-20260629-0601,2026-06-29,07:51,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,29,56.09,40.83,15.26,0.728,36500,1233980,1490295,256315,Tempo_3H,Belum Lunas
TRX-20260629-0602,2026-06-29,03:35,Katering Berkah Ibu,Langganan,Potong 8,23,49.42,35.58,13.84,0.72,36500,1087240,1298670,211430,Tempo_14H,Belum Lunas
TRX-20260629-0603,2026-06-29,08:51,Eceran Umum,Umum,Potong 4,1,1.81,1.32,0.49,0.731,35000,39820,46200,6380,Tunai,Lunas
TRX-20260629-0604,2026-06-29,06:56,Eceran Umum,Umum,Karkas Utuh,2,4.22,3.08,1.14,0.73,35000,92840,107800,14960,Tunai,Lunas
TRX-20260629-0605,2026-06-29,06:36,Eceran Umum,Umum,Karkas Utuh,2,3.67,2.62,1.05,0.714,35000,80740,91700,10960,Tunai,Lunas
TRX-20260629-0606,2026-06-29,03:06,Warung Nasi Sunda Ibu Imas,Langganan,Karkas Utuh,14,30.76,22.85,7.91,0.743,35000,676720,799750,123030,Tempo_7H,Belum Lunas
TRX-20260629-0607,2026-06-29,04:52,Ayam Geprek Sambal Bawang,Langganan,Fillet Dada,31,62.17,45.45,16.72,0.731,48000,1367740,2181600,813860,Tunai,Belum Lunas
TRX-20260629-0608,2026-06-29,08:45,Depot Mie Pangsit 88,Langganan,Karkas Utuh,15,29.09,20.83,8.26,0.716,35000,639980,729049,89069,Tempo_3H,Lunas
TRX-20260629-0609,2026-06-29,05:11,Depot Mie Pangsit 88,Langganan,Karkas Utuh,5,10.23,7.37,2.86,0.72,35000,225060,257950,32890,Tempo_3H,Belum Lunas
TRX-20260629-0610,2026-06-29,07:41,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Fillet Dada,16,29.29,21.21,8.08,0.724,48000,644380,1018080,373700,Tempo_3H,Lunas
TRX-20260629-0611,2026-06-29,03:02,Warung Nasi Sunda Ibu Imas,Langganan,Potong 12,21,47.71,35.69,12.02,0.748,36500,1049620,1302685,253065,Tempo_7H,Lunas
TRX-20260629-0612,2026-06-29,04:27,Eceran Umum,Umum,Fillet Dada,1,1.93,1.46,0.47,0.757,48000,42460,70080,27620,Tunai,Lunas
TRX-20260629-0613,2026-06-29,06:53,Eceran Umum,Umum,Potong 4,1,2.03,1.46,0.57,0.721,35000,44659,51100,6441,Tunai,Lunas
TRX-20260629-0614,2026-06-29,06:26,Eceran Umum,Umum,Potong 12,2,3.58,2.65,0.93,0.74,36500,78760,96725,17965,Tunai,Lunas
TRX-20260629-0615,2026-06-29,03:25,Eceran Umum,Umum,Karkas Utuh,2,4.21,3.17,1.04,0.752,35000,92620,110950,18330,Tunai,Lunas
TRX-20260629-0616,2026-06-29,07:50,Warung Padang Roda Jaya,Langganan,Potong 8,28,57.3,42.52,14.78,0.742,36500,1260600,1551980,291380,Tempo_7H,Belum Lunas
TRX-20260629-0617,2026-06-29,07:36,Eceran Umum,Umum,Potong 8,1,1.71,1.24,0.47,0.728,36500,37620,45260,7640,Tunai,Lunas
TRX-20260629-0618,2026-06-29,07:23,Warung Padang Roda Jaya,Langganan,Potong 4,30,60.1,43.09,17.01,0.717,35000,1322200,1508150,185950,Tempo_7H,Belum Lunas
TRX-20260630-0619,2026-06-30,07:35,Bakso Solo Mas Mul,Langganan,Potong 12,5,11.09,8.22,2.87,0.741,36500,243980,300030,56050,Tempo_7H,Belum Lunas
TRX-20260630-0620,2026-06-30,07:15,Eceran Umum,Umum,Potong 4,2,3.73,2.67,1.06,0.716,35000,82060,93450,11390,Tunai,Lunas
TRX-20260630-0621,2026-06-30,03:11,Eceran Umum,Umum,Potong 4,1,2.12,1.52,0.6,0.716,35000,46640,53200,6560,Tunai,Lunas
TRX-20260630-0622,2026-06-30,07:16,Eceran Umum,Umum,Fillet Dada,1,1.95,1.42,0.53,0.726,48000,42900,68160,25260,Tunai,Lunas
TRX-20260630-0623,2026-06-30,06:58,Ayam Geprek Sambal Bawang,Langganan,Potong 4,15,27.0,20.14,6.86,0.746,35000,594000,704900,110900,Tunai,Belum Lunas
TRX-20260630-0624,2026-06-30,03:22,Eceran Umum,Umum,Fillet Dada,1,2.18,1.61,0.57,0.738,48000,47960,77280,29320,Tunai,Lunas
TRX-20260630-0625,2026-06-30,03:24,Warung Padang Roda Jaya,Langganan,Potong 8,6,12.62,9.2,3.42,0.729,36500,277640,335800,58160,Tempo_7H,Lunas
TRX-20260630-0626,2026-06-30,04:22,Eceran Umum,Umum,Karkas Utuh,1,2.19,1.6,0.59,0.732,35000,48180,56000,7820,Tunai,Lunas
TRX-20260630-0627,2026-06-30,08:34,Warung Padang Roda Jaya,Langganan,Fillet Dada,7,15.44,11.21,4.23,0.726,48000,339680,538080,198400,Tempo_7H,Belum Lunas
TRX-20260630-0628,2026-06-30,06:05,Eceran Umum,Umum,Potong 8,2,3.53,2.62,0.91,0.742,36500,77660,95630,17970,Tunai,Lunas
TRX-20260630-0629,2026-06-30,05:11,Eceran Umum,Umum,Potong 8,2,4.15,3.13,1.02,0.754,36500,91300,114245,22945,Tunai,Lunas
TRX-20260630-0630,2026-06-30,06:44,Warung Padang Roda Jaya,Langganan,Fillet Dada,17,30.82,22.31,8.51,0.724,48000,678040,1070880,392840,Tempo_7H,Belum Lunas
TRX-20260630-0631,2026-06-30,07:18,Depot Mie Pangsit 88,Langganan,Potong 4,12,27.38,19.58,7.8,0.715,35000,602360,685299,82939,Tempo_3H,Belum Lunas
TRX-20260630-0632,2026-06-30,05:19,Depot Mie Pangsit 88,Langganan,Potong 12,20,37.05,27.38,9.67,0.739,36500,815099,999370,184271,Tempo_3H,Belum Lunas
TRX-20260630-0633,2026-06-30,06:26,Eceran Umum,Umum,Campur,2,3.9,2.9,1.0,0.744,35000,85800,101500,15700,Tunai,Lunas
TRX-20260630-0634,2026-06-30,04:41,Eceran Umum,Umum,Karkas Utuh,1,2.1,1.55,0.55,0.739,35000,46200,54250,8050,Tunai,Lunas
TRX-20260630-0635,2026-06-30,04:10,Bakso Solo Mas Mul,Langganan,Campur,8,15.16,11.29,3.87,0.745,35000,333520,395149,61629,Tempo_7H,Belum Lunas
TRX-20260630-0636,2026-06-30,08:45,Eceran Umum,Umum,Potong 12,2,3.46,2.59,0.87,0.748,36500,76120,94535,18415,Tunai,Lunas
TRX-20260701-0637,2026-07-01,09:03,Eceran Umum,Umum,Potong 8,1,2.04,1.48,0.56,0.725,36500,44880,54020,9140,Tunai,Lunas
TRX-20260701-0638,2026-07-01,05:44,Eceran Umum,Umum,Karkas Utuh,2,3.98,2.89,1.09,0.727,35000,87560,101150,13590,Tunai,Lunas
TRX-20260701-0639,2026-07-01,05:32,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,18,32.95,24.22,8.73,0.735,36500,724900,884030,159130,Tempo_3H,Lunas
TRX-20260701-0640,2026-07-01,09:44,Eceran Umum,Umum,Karkas Utuh,2,4.39,3.12,1.27,0.71,35000,96580,109200,12620,Tunai,Lunas
TRX-20260701-0641,2026-07-01,06:53,Depot Mie Pangsit 88,Langganan,Potong 12,10,20.28,14.82,5.46,0.731,36500,446160,540930,94770,Tempo_3H,Belum Lunas
TRX-20260701-0642,2026-07-01,04:09,Eceran Umum,Umum,Potong 8,1,1.96,1.4,0.56,0.716,36500,43120,51100,7980,Tunai,Lunas
TRX-20260701-0643,2026-07-01,04:43,Ayam Geprek Sambal Bawang,Langganan,Potong 8,6,10.91,8.08,2.83,0.741,36500,240020,294920,54900,Tunai,Belum Lunas
TRX-20260701-0644,2026-07-01,03:49,Eceran Umum,Umum,Fillet Dada,1,1.76,1.27,0.49,0.723,48000,38720,60960,22240,Tunai,Lunas
TRX-20260701-0645,2026-07-01,05:42,Eceran Umum,Umum,Potong 8,2,3.55,2.55,1.0,0.719,36500,78100,93075,14975,Tunai,Lunas
TRX-20260701-0646,2026-07-01,05:58,Ayam Geprek Sambal Bawang,Langganan,Potong 8,8,16.86,12.41,4.45,0.736,36500,370920,452965,82045,Tunai,Belum Lunas
TRX-20260701-0647,2026-07-01,05:29,Warung Padang Roda Jaya,Langganan,Karkas Utuh,15,32.94,24.9,8.04,0.756,35000,724680,871500,146820,Tempo_7H,Belum Lunas
TRX-20260701-0648,2026-07-01,04:00,Eceran Umum,Umum,Potong 4,2,4.37,3.14,1.23,0.719,35000,96140,109900,13760,Tunai,Lunas
TRX-20260701-0649,2026-07-01,03:21,Bakso Solo Mas Mul,Langganan,Potong 8,22,45.99,34.81,11.18,0.757,36500,1011780,1270565,258785,Tempo_7H,Belum Lunas
TRX-20260701-0650,2026-07-01,07:53,Warung Padang Roda Jaya,Langganan,Potong 12,11,25.2,17.99,7.21,0.714,36500,554400,656635,102235,Tempo_7H,Belum Lunas
TRX-20260701-0651,2026-07-01,03:14,Eceran Umum,Umum,Potong 12,1,1.89,1.35,0.54,0.713,36500,41580,49275,7695,Tunai,Lunas
TRX-20260701-0652,2026-07-01,08:43,Depot Mie Pangsit 88,Langganan,Fillet Dada,30,60.64,43.18,17.46,0.712,48000,1334080,2072640,738560,Tempo_3H,Belum Lunas
TRX-20260701-0653,2026-07-01,05:48,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 8,28,58.17,43.69,14.48,0.751,36500,1279740,1594685,314945,Tempo_3H,Belum Lunas
TRX-20260701-0654,2026-07-01,05:54,Pecel Lele & Ayam Lamongan Cak Har,Langganan,Potong 4,18,33.88,24.77,9.11,0.731,35000,745360,866950,121590,Tempo_3H,Lunas
TRX-20260701-0655,2026-07-01,03:21,Warung Padang Roda Jaya,Langganan,Karkas Utuh,27,59.23,42.88,16.35,0.724,35000,1303060,1500800,197740,Tempo_7H,Belum Lunas
TRX-20260701-0656,2026-07-01,04:06,Warung Padang Roda Jaya,Langganan,Potong 8,19,35.56,26.56,9.0,0.747,36500,782320,969440,187120,Tempo_7H,Lunas
TRX-20260702-0657,2026-07-02,04:12,Eceran Umum,Umum,Campur,1,1.89,1.42,0.47,0.752,35000,41580,49700,8120,Tunai,Lunas
TRX-20260702-0658,2026-07-02,05:20,Eceran Umum,Umum,Karkas Utuh,2,3.97,2.93,1.04,0.738,35000,87340,102550,15210,Tunai,Lunas
TRX-20260702-0659,2026-07-02,05:12,Ayam Geprek Sambal Bawang,Langganan,Karkas Utuh,11,20.34,14.48,5.86,0.712,35000,447480,506800,59320,Tunai,Lunas
TRX-20260702-0660,2026-07-02,06:00,Warung Padang Roda Jaya,Langganan,Potong 4,20,44.42,32.2,12.22,0.725,35000,977240,1127000,149760,Tempo_7H,Lunas
TRX-20260702-0661,2026-07-02,03:25,Eceran Umum,Umum,Fillet Dada,2,3.65,2.66,0.99,0.728,48000,80300,127680,47380,Tunai,Lunas
